species,param,conf_lower,conf_upper,method,value
P. grandis,rmax,0.11990087489818592,0.1513969460595508,case bootstrap,0.13293959743504238
P. grandis,topt,22,28.090289499393293,case bootstrap,26.868000000000002
P. grandis,ctmin,-26.92,-25.011,case bootstrap,-Inf
P. grandis,ctmax,35.922131501820125,37.59665848604572,case bootstrap,36.568
P. grandis,e,-1.683423414235128,0.4909456398875703,case bootstrap,-0.8002466310637375
P. grandis,eh,0.43452038215151295,2.227326320054871,case bootstrap,1.682984755027526
P. grandis,thermal_safety_margin,8.080973504246954,15.469409707227092,case bootstrap,9.699999999999996
P. grandis,thermal_tolerance,61.09,63.09,case bootstrap,Inf
P. grandis,breadth,7.5011540897927675,10.051723748483232,case bootstrap,9.249000000000002
P. grandis,skewness,-3.443079640269578,-1.4511466480511328,case bootstrap,-2.483231386091264
P. verrucosa,rmax,0.11486730386831041,0.14335529125980975,case bootstrap,0.1247640343678793
P. verrucosa,topt,24.07066882096581,28.808057857844506,case bootstrap,27.265
P. verrucosa,ctmin,-22.16268375905282,0.2337683207481022,case bootstrap,-8.759999999999998
P. verrucosa,ctmax,34.58246694759856,35.44805516447836,case bootstrap,34.963
P. verrucosa,e,-1.6292601109373346,0.3856927901291584,case bootstrap,-0.30675149780396926
P. verrucosa,eh,0.8238371330909039,3.0500290378728288,case bootstrap,1.9499037255512155
P. verrucosa,q10,0.26361553199183874,1.3331777207151356,case bootstrap,0.667384470829904
P. verrucosa,thermal_safety_margin,6.356212793147431,11.371887516436898,case bootstrap,7.698
P. verrucosa,thermal_tolerance,35.475293397290116,56.9668846500127,case bootstrap,43.723
P. verrucosa,breadth,8.805951102560547,10.230000000000004,case bootstrap,9.332
P. verrucosa,skewness,-3.114101606687295,-1.1145900629048597,case bootstrap,-2.256655223355185
